범죄분류,00시00분-02시59분,03시00분-05시59분,06시00분-08시59분,09시00분-11시59분,12시00분-14시59분,15시00분-17시59분,18시00분-20시59분,21시00분-23시59분,미상
절도,13751,14385,12502,21531,24623,26890,26654,22167,21852
살인,67,69,75,94,88,100,126,141,98
강도,132,162,58,72,77,90,100,136,163
방화,157,140,82,113,156,149,197,248,116
성폭력,3200,3296,2615,2559,2651,3442,4335,5303,5423
폭행,22343,18552,9738,11575,11798,14291,21375,38210,17616
상해,6052,5170,2995,3895,3781,4606,6178,10129,6570
협박,1011,777,1108,1857,1777,1982,2424,2590,2481
공갈,187,133,103,486,365,553,733,673,1748
약취와유인,12,11,13,29,30,41,30,5,45
체포와감금,120,137,138,206,183,181,228,246,289
폭력행위등(손괴·강요·주거침입등),82,71,49,106,92,82,90,95,176
폭력행위등(단체등의구성·활동),5,13,4,4,7,7,17,14,69
도박과복표,272,176,219,701,667,994,1243,1129,3398
과실치사상,108,108,166,315,374,473,358,336,345
업무상과실치사상,54,90,314,881,661,606,218,116,545
가정폭력범죄의처벌등에관한특례법,7,10,10,19,19,25,44,46,17
경범죄처벌법,941,877,343,397,368,523,731,1474,837
교통사고처리특례법,5928,7054,21565,26810,29156,33739,34814,21740,4703
도로교통법,636,715,1730,2993,2763,3543,2415,1800,670
도로교통법(무면허운전),1473,1489,3555,10444,7173,10843,5876,5203,1031
도로교통법(사고후미조치),2621,2735,5437,6759,6948,7657,8828,7275,1987
도로교통법(음주운전),23460,19137,10839,5052,4138,5782,16269,72175,21841
도로교통법(음주측정거부),506,372,138,84,104,155,299,837,310
마약류관리에관한법률(대마),45,35,12,158,82,124,130,139,362
마약류관리에관한법률(마약),1,6,16,275,272,298,55,14,368
마약류관리에관한법률(향정),316,202,161,733,544,618,937,782,2505
성매매알선등행위의처벌에관한법률,587,389,120,447,839,1652,1914,2692,1775
아동·청소년의성보호에관한법률(성매수등),29,33,22,58,76,131,115,93,188
아동·청소년의성보호에관한법률(음란물등),12,14,12,41,34,37,22,24,295
특가법(도주차량),358,333,507,368,502,669,859,960,255
