범죄분류,아파트_연립_다세대,단독주택,고속도로,노상,상점,시장노점,숙박업소_목욕탕,유흥접객업소,사무실,공장,공사장_광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,기타
절도,7038,9045,144,36808,20111,1803,3559,9985,3096,1022,1310,883,1034,496,1508,370,1186,1005,4276,1300,1051,2276,92,21,7,32,74897
장물,63,71,0,649,225,38,13,71,99,91,9,10,26,5,28,3,30,26,20,5,2,0,10,1,0,1,438
손괴,3010,2698,26,21304,749,273,620,2064,666,107,179,68,92,21,48,21,99,87,67,91,141,1125,67,1,4,13,22917
살인,182,161,2,136,4,1,34,40,21,3,0,2,1,0,6,0,5,1,1,9,3,7,5,0,0,0,234
강도,83,87,1,261,119,5,71,62,25,3,1,1,2,0,6,1,6,5,10,1,5,7,1,0,0,0,227
방화,203,227,0,174,11,6,14,33,28,16,12,14,2,1,2,1,13,11,4,8,14,11,1,0,0,0,552
성폭력,2845,2431,20,4448,798,185,2673,2588,596,55,13,19,1481,1692,1035,79,284,491,20,292,61,39,3,15,29,3,10629
폭행,11949,8380,132,60975,2561,576,1079,12419,2818,456,431,57,574,299,761,103,1204,649,55,1075,242,175,78,39,154,2,58255
상해,3855,3098,47,16900,699,300,525,5186,1466,399,281,33,146,30,142,48,507,561,15,400,171,210,36,4,134,8,14175
협박,1811,1688,112,5026,271,65,74,709,596,38,36,8,21,8,31,7,58,74,14,103,40,30,5,3,18,4,5157
공갈,256,304,3,996,134,44,73,604,363,23,46,4,13,0,16,3,40,100,29,22,10,11,1,1,7,0,1878
약취와 유인,23,11,0,78,2,0,8,6,1,0,0,0,4,1,1,0,3,14,0,1,1,1,0,0,0,0,61
체포와 감금,203,140,9,356,13,3,51,57,85,5,4,3,4,0,58,0,0,13,0,40,12,5,0,0,0,1,666
"폭력행위등(손괴,강요,주거침입등)",104,103,1,112,39,8,17,30,40,10,18,3,2,0,0,0,2,25,0,1,15,5,0,0,0,1,307
"폭력행위등(단체등의구성, 활동)",2,5,0,51,3,0,2,29,3,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,36
도박과 복표,576,1051,1,64,147,26,66,232,1517,10,1,18,0,0,1,11,19,1,3,3,0,38,2,0,0,1,5011
과실치사상,97,95,7,933,88,25,34,186,35,17,15,1,47,14,8,94,99,24,2,30,6,37,2,0,2,1,684
업무상 과실치사상,62,44,7,381,83,16,42,88,44,330,466,17,20,3,42,22,43,41,1,634,4,53,219,3,1,2,817
실화,167,215,2,215,40,9,9,51,29,137,26,87,4,0,17,1,17,3,0,4,8,213,27,0,0,1,1069
주거 침입,2285,2853,0,292,159,53,232,267,337,83,47,52,15,3,5,5,11,115,5,60,81,31,1,2,0,2,4970
유기,20,21,2,12,1,0,1,0,1,0,0,0,0,0,1,0,0,45,0,15,48,0,0,0,0,0,145
경범죄처벌법,311,112,1,1352,56,10,18,191,2242,0,0,0,36,20,14,0,39,4,2,12,4,4,0,0,0,0,2063
마약류관리에관한법률(대마),67,199,0,212,3,3,18,21,25,4,2,0,7,0,18,0,8,1,0,3,0,29,0,0,0,0,467
마약류관리에관한법률(마약),18,741,0,86,5,1,9,10,4,2,0,1,1,0,0,0,0,0,0,29,1,184,0,0,0,4,209
마약류관리에관한법률(향정),542,668,11,1470,95,26,1071,173,189,20,2,6,63,3,124,0,21,2,73,111,2,10,27,0,4,1,2084
성매매알선등행위의처벌에관한법률,2648,132,0,661,108,188,2329,2614,118,0,0,0,2,0,13,0,1,3,1,0,0,38,0,0,0,0,1559
아동·청소년의성보호에관한법률(성매수등),54,29,0,128,2,4,293,16,2,0,0,0,0,0,24,0,2,2,0,1,0,0,0,0,0,0,188
아동·청소년의성보호에관한법률(음란물등),39,83,0,3,3,0,4,0,58,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,299
