범죄분류,서울_종로,서울_중구,서울_용산,서울_성동,서울_광진,서울_동대문,서울_중랑,서울_성북,서울_강북,서울_도봉,서울_노원,서울_은평,서울_서대문,서울_마포,서울_양천,서울_강서,서울_구로,서울_금천,서울_영등포,서울_동작,서울_관악,서울_서초,서울_강남,서울_송파,서울_강동,부산_중구,부산_서구,부산_동구,부산_영도,부산_부산진,부산_동래,부산_남구,부산_북구,부산_해운대,부산_사하,부산_금정,부산_강서,부산_연제,부산_수영,부산_사상,부산_기장군,대구_중구,대구_동구,대구_서구,대구_남구,대구_북구,대구_수성,대구_달서,대구_달성군,인천_중구,인천_동구,인천_서구,인천_미추홀,인천_연수,인천_남동,인천_부평,인천_계양,인천_강화군,인천_옹진군,광주_동구,광주_서구,광주_남구,광주_북구,광주_광산,대전_중구,대전_동구,대전_서구,대전_유성,대전_대덕,울산_중구,울산_동구,울산_남구,울산_북구,울산_울주군,부천,수원,성남,전주,안양,청주,창원,광명,포항,안산,진주,고양,제주,목포,의정부,익산,군산,구미,천안,여수,춘천,원주,평택,경주,김해,순천,군포,남양주,강릉,충주,안동,경산,아산,거제,김천,정읍,용인,시흥,파주,양산,이천,구리,서산,제천,논산,기타 도시,도시이외
절도,1488,1858,1133,998,1767,1453,1527,1162,1116,785,1414,1275,1061,2023,1384,1729,1724,1020,2287,1153,2171,1866,3022,2356,1516,939,720,592,327,2357,1050,824,792,1347,1042,943,484,799,791,998,408,1140,1311,669,540,1161,977,1720,685,626,138,1376,1527,841,1638,2421,755,133,29,602,1161,608,1429,1060,1030,1010,1755,1111,651,746,549,1036,449,569,3721,5398,3130,2227,1669,3340,3386,1028,1704,3029,1726,2269,2133,996,1725,982,1027,1368,3267,810,881,1068,2064,838,2409,745,661,1282,661,771,409,983,1166,797,366,314,2204,1714,1115,985,782,833,599,314,464,14421,8523
장물,12,11,8,2,10,5,7,5,3,17,7,5,5,16,4,3,7,10,7,5,10,6,16,7,4,36,2,19,5,47,14,18,28,22,26,10,9,11,14,28,4,6,6,9,2,6,1,11,3,23,0,13,9,2,7,7,4,0,0,5,6,3,9,4,2,8,12,5,0,2,1,7,3,0,19,26,19,5,9,8,10,3,7,14,22,9,3,3,7,4,1,1,9,3,1,3,11,1,9,0,4,1,1,2,0,1,0,1,2,2,4,7,7,2,4,0,2,0,0,45,12
사기,1761,2206,1535,1493,1703,1665,1497,1380,1591,1149,1888,1669,1548,2111,1435,2494,2141,1417,3334,1488,2536,4882,8317,2919,1726,1385,586,1338,586,2731,1288,2051,1575,2366,1641,1633,903,1619,828,1729,741,1265,1639,1060,947,1818,2195,2687,680,1260,261,2618,2373,1434,3146,2464,1547,228,84,802,2189,753,1935,1970,1564,1401,2706,1438,977,1255,858,2307,700,1156,5726,6929,4222,3219,2663,4579,5736,1327,2999,3970,1746,4877,3378,1780,2309,1515,2181,2845,4149,1218,1231,1870,3822,1994,3238,1883,1049,2090,924,963,829,877,1484,1340,581,486,3278,2614,2312,1862,977,907,880,680,770,29401,14254
횡령,664,709,693,441,549,482,530,443,401,314,499,401,494,918,459,642,613,386,895,526,685,1051,1681,1539,454,188,56,147,83,773,209,182,167,470,233,221,171,241,143,216,194,288,418,150,196,337,311,476,106,406,55,582,595,257,544,687,240,64,8,290,313,135,386,406,314,241,446,270,117,123,116,335,86,158,1298,1599,1092,455,851,755,783,370,281,980,163,1495,531,253,680,159,208,268,750,245,214,267,604,231,484,952,250,552,137,142,102,173,277,305,71,49,882,514,395,220,218,243,133,94,95,4678,2055
배임,61,75,40,32,30,35,18,26,23,24,25,24,44,52,25,51,45,40,90,22,27,142,283,122,43,9,14,23,11,41,26,29,14,54,34,20,14,28,6,25,17,6,25,15,7,19,48,40,9,35,7,52,41,29,35,29,19,13,2,30,35,15,37,18,14,8,40,24,9,5,6,50,9,28,53,81,87,71,50,93,80,7,49,80,22,71,62,26,29,28,26,34,58,415,24,28,84,40,68,22,21,42,12,11,10,8,32,39,14,8,84,33,48,33,22,13,23,22,14,718,370
손괴,327,306,357,240,432,277,553,328,285,323,539,447,353,558,438,584,514,293,618,313,543,463,731,574,505,118,123,109,118,479,249,278,258,330,350,220,85,222,225,228,149,206,416,352,260,378,393,549,158,169,71,589,663,261,682,696,341,91,12,170,314,199,379,365,266,261,523,235,215,277,235,407,139,206,1184,1761,1006,448,656,1154,970,301,581,1039,312,905,864,386,599,338,321,406,937,373,332,487,907,263,567,307,252,622,338,249,157,337,356,204,165,91,727,685,504,250,318,281,267,146,122,5706,2887
살인,7,2,1,2,7,5,4,8,8,1,5,8,5,6,2,11,8,5,20,2,10,5,12,5,3,1,3,0,5,1,3,3,6,3,4,4,2,5,5,6,3,1,11,3,4,3,2,7,2,2,1,9,6,2,9,11,3,1,0,0,4,4,7,7,6,0,5,3,1,1,3,5,2,0,13,16,17,16,6,22,22,2,14,14,6,13,11,4,9,5,5,6,8,9,3,3,9,5,11,4,3,8,2,2,0,3,9,5,1,3,12,9,9,5,2,4,1,3,5,106,73
강도,3,11,3,3,3,5,3,1,7,4,5,1,3,6,4,6,9,5,8,7,12,5,14,6,6,2,6,4,2,17,6,5,3,3,8,8,1,7,5,8,2,3,11,3,5,3,8,14,1,4,0,7,8,3,0,12,3,0,0,2,3,1,12,9,15,10,14,6,6,4,4,10,2,6,20,20,16,11,3,18,19,7,6,10,5,7,9,10,10,6,3,7,19,4,4,2,14,7,10,2,1,3,3,2,1,4,7,3,4,0,1,10,5,4,0,5,0,4,1,83,35
방화,9,15,12,7,6,12,8,10,10,7,12,23,10,5,14,18,15,8,17,11,19,10,11,11,12,5,4,8,0,12,7,10,11,6,10,12,0,6,2,11,4,2,12,9,3,10,5,22,6,4,1,16,12,4,16,12,11,1,0,7,4,2,10,6,10,13,10,3,7,4,4,7,5,9,26,34,17,12,14,29,23,6,6,21,7,24,13,6,19,10,14,7,26,8,6,9,26,7,16,7,3,21,7,4,1,10,11,8,7,2,23,13,11,9,8,0,6,8,9,153,124
성폭력,345,329,401,192,347,221,223,284,248,165,271,280,260,718,173,389,373,255,547,396,504,615,973,493,220,69,42,72,59,373,115,149,90,251,141,121,60,111,121,149,53,215,178,80,74,186,163,305,77,151,24,317,338,159,457,486,173,21,10,93,248,82,262,182,195,189,440,187,99,75,74,225,59,93,580,875,641,372,396,451,395,164,256,545,142,524,381,170,302,118,110,180,380,130,119,201,341,104,220,158,123,252,147,103,79,132,166,136,55,43,379,289,191,127,123,128,74,74,57,2427,1629
